,llave_edcn,fk_municipio,fk_indicador,fk_fecha,valor_edcn
470,470,17013.0,232,2018-01-12,75.14
471,471,17001.0,232,2018-01-12,74.83
472,472,17000.0,232,2018-01-12,67.17
473,473,15879.0,232,2018-01-12,67.8
474,474,15897.0,232,2018-01-12,77.22
475,475,15861.0,232,2018-01-12,75.83
476,476,15842.0,232,2018-01-12,38.46
477,477,15839.0,232,2018-01-12,113.04
478,478,15837.0,232,2018-01-12,92.61
479,479,15835.0,232,2018-01-12,105.26
480,480,15832.0,232,2018-01-12,74.29
481,481,15822.0,232,2018-01-12,103.37
482,482,15820.0,232,2018-01-12,103.23
483,483,15816.0,232,2018-01-12,66.32
484,484,15814.0,232,2018-01-12,83.96
485,485,15810.0,232,2018-01-12,104.17
486,486,15808.0,232,2018-01-12,101.89
487,487,15806.0,232,2018-01-12,50.21
488,488,15804.0,232,2018-01-12,84.21
489,489,15798.0,232,2018-01-12,86.54
490,490,15790.0,232,2018-01-12,76.85
491,491,15778.0,232,2018-01-12,44.07
492,492,15776.0,232,2018-01-12,67.01
493,493,15774.0,232,2018-01-12,72.55
494,494,15764.0,232,2018-01-12,106.86
495,495,15763.0,232,2018-01-12,66.45
496,496,15762.0,232,2018-01-12,57.81
497,497,15761.0,232,2018-01-12,44.0
498,498,15759.0,232,2018-01-12,120.26
499,499,15757.0,232,2018-01-12,117.8
500,500,15755.0,232,2018-01-12,86.18
501,501,15753.0,232,2018-01-12,112.0
502,502,15740.0,232,2018-01-12,71.89
503,503,15723.0,232,2018-01-12,81.25
504,504,15720.0,232,2018-01-12,70.27
505,505,15696.0,232,2018-01-12,109.3
506,506,15693.0,232,2018-01-12,90.86
507,507,15690.0,232,2018-01-12,62.32
508,508,15686.0,232,2018-01-12,82.64
509,509,15681.0,232,2018-01-12,59.57
510,510,15676.0,232,2018-01-12,41.46
511,511,15673.0,232,2018-01-12,72.88
512,512,15667.0,232,2018-01-12,92.77
513,513,15664.0,232,2018-01-12,81.82
514,514,15660.0,232,2018-01-12,38.89
515,515,15646.0,232,2018-01-12,91.61
516,516,15638.0,232,2018-01-12,86.84
517,517,15632.0,232,2018-01-12,76.99
518,518,15621.0,232,2018-01-12,42.86
519,519,15600.0,232,2018-01-12,34.87
520,520,15599.0,232,2018-01-12,73.26
521,521,15580.0,232,2018-01-12,48.72
522,522,15572.0,232,2018-01-12,83.1
523,523,15550.0,232,2018-01-12,96.55
524,524,15542.0,232,2018-01-12,84.3
525,525,15537.0,232,2018-01-12,60.53
526,526,15533.0,232,2018-01-12,78.72
527,527,15531.0,232,2018-01-12,40.19
528,528,15522.0,232,2018-01-12,138.89
529,529,15518.0,232,2018-01-12,156.0
530,530,15516.0,232,2018-01-12,84.72
531,531,15514.0,232,2018-01-12,80.0
532,532,15511.0,232,2018-01-12,47.06
533,533,15507.0,232,2018-01-12,46.29
534,534,15500.0,232,2018-01-12,57.89
535,535,15494.0,232,2018-01-12,54.17
536,536,15491.0,232,2018-01-12,80.8
537,537,15480.0,232,2018-01-12,75.95
538,538,15476.0,232,2018-01-12,44.59
539,539,15469.0,232,2018-01-12,80.06
540,540,15466.0,232,2018-01-12,87.78
541,541,15464.0,232,2018-01-12,98.8
