,llave_dmgrfc,fk_municipio,fk_indicador,fk_fecha,valor_dmgrfc
179,179,68013.0,4,2018-01-12,73.0
180,180,68121.0,4,2018-01-12,54.0
181,181,68132.0,4,2018-01-12,79.0
182,182,68160.0,4,2018-01-12,86.0
183,183,68176.0,4,2018-01-12,92.0
184,184,68245.0,4,2018-01-12,65.0
185,185,68322.0,4,2018-01-12,84.0
186,186,68344.0,4,2018-01-12,94.0
187,187,68370.0,4,2018-01-12,49.0
188,188,68425.0,4,2018-01-12,76.0
189,189,68522.0,4,2018-01-12,48.0
190,190,68524.0,4,2018-01-12,92.0
191,191,68682.0,4,2018-01-12,83.0
192,192,68686.0,4,2018-01-12,97.0
193,193,68867.0,4,2018-01-12,87.0
194,194,17446.0,4,2018-01-12,93.0
195,195,15022.0,4,2018-01-12,55.0
196,196,15090.0,4,2018-01-12,43.0
197,197,15092.0,4,2018-01-12,88.0
198,198,15106.0,4,2018-01-12,76.0
199,199,15114.0,4,2018-01-12,38.0
200,200,15131.0,4,2018-01-12,95.0
201,201,15172.0,4,2018-01-12,84.0
202,202,15218.0,4,2018-01-12,87.0
203,203,15226.0,4,2018-01-12,56.0
204,204,15236.0,4,2018-01-12,74.0
205,205,15293.0,4,2018-01-12,79.0
206,206,15317.0,4,2018-01-12,55.0
207,207,15325.0,4,2018-01-12,77.0
208,208,15362.0,4,2018-01-12,73.0
209,209,15380.0,4,2018-01-12,77.0
210,210,15401.0,4,2018-01-12,37.0
211,211,15511.0,4,2018-01-12,61.0
212,212,15518.0,4,2018-01-12,98.0
213,213,15522.0,4,2018-01-12,55.0
214,214,15550.0,4,2018-01-12,88.0
215,215,15621.0,4,2018-01-12,66.0
216,216,15660.0,4,2018-01-12,67.0
217,217,15673.0,4,2018-01-12,92.0
218,218,15676.0,4,2018-01-12,83.0
219,219,15696.0,4,2018-01-12,93.0
220,220,15720.0,4,2018-01-12,70.0
221,221,15723.0,4,2018-01-12,34.0
222,222,15761.0,4,2018-01-12,72.0
223,223,15774.0,4,2018-01-12,93.0
224,224,15832.0,4,2018-01-12,52.0
225,225,15839.0,4,2018-01-12,75.0
226,226,50686.0,4,2018-01-12,64.0
227,227,50245.0,4,2018-01-12,64.0
228,228,85015.0,4,2018-01-12,96.0
229,229,85136.0,4,2018-01-12,65.0
230,230,85279.0,4,2018-01-12,74.0
231,231,97666.0,4,2018-01-12,82.0
232,232,25807.0,4,2018-01-12,85.0
233,233,25871.0,4,2018-01-12,49.0
234,234,25086.0,4,2018-01-12,61.0
235,235,25095.0,4,2018-01-12,62.0
236,236,25299.0,4,2018-01-12,91.0
237,237,25324.0,4,2018-01-12,98.0
238,238,25368.0,4,2018-01-12,58.0
239,239,25483.0,4,2018-01-12,80.0
240,240,25580.0,4,2018-01-12,90.0
241,241,68013.0,5,2018-01-12,73.0
242,242,68121.0,5,2018-01-12,47.0
243,243,68132.0,5,2018-01-12,98.0
244,244,68160.0,5,2018-01-12,77.0
245,245,68169.0,5,2018-01-12,93.0
246,246,68176.0,5,2018-01-12,89.0
247,247,68211.0,5,2018-01-12,81.0
248,248,68245.0,5,2018-01-12,52.0
249,249,68264.0,5,2018-01-12,86.0
250,250,68266.0,5,2018-01-12,99.0
251,251,68296.0,5,2018-01-12,100.0
252,252,68322.0,5,2018-01-12,83.0
253,253,68344.0,5,2018-01-12,84.0
254,254,68368.0,5,2018-01-12,90.0
255,255,68370.0,5,2018-01-12,50.0
256,256,68425.0,5,2018-01-12,68.0
257,257,68522.0,5,2018-01-12,44.0
258,258,68524.0,5,2018-01-12,84.0
259,259,68682.0,5,2018-01-12,76.0
260,260,68686.0,5,2018-01-12,80.0
261,261,68705.0,5,2018-01-12,88.0
262,262,68867.0,5,2018-01-12,81.0
263,263,17446.0,5,2018-01-12,75.0
264,264,54125.0,5,2018-01-12,93.0
265,265,63111.0,5,2018-01-12,100.0
266,266,50245.0,5,2018-01-12,49.0
267,267,50686.0,5,2018-01-12,49.0
268,268,85015.0,5,2018-01-12,95.0
269,269,85136.0,5,2018-01-12,52.0
270,270,85279.0,5,2018-01-12,66.0
271,271,85315.0,5,2018-01-12,85.0
272,272,97161.0,5,2018-01-12,70.0
273,273,97666.0,5,2018-01-12,62.0
274,274,25086.0,5,2018-01-12,55.0
275,275,25095.0,5,2018-01-12,48.0
276,276,25258.0,5,2018-01-12,92.0
277,277,25299.0,5,2018-01-12,80.0
278,278,25324.0,5,2018-01-12,74.0
279,279,25368.0,5,2018-01-12,56.0
280,280,25436.0,5,2018-01-12,84.0
281,281,25483.0,5,2018-01-12,71.0
282,282,25489.0,5,2018-01-12,97.0
283,283,25580.0,5,2018-01-12,66.0
284,284,25807.0,5,2018-01-12,73.0
285,285,25823.0,5,2018-01-12,95.0
286,286,25867.0,5,2018-01-12,95.0
287,287,25871.0,5,2018-01-12,42.0
288,288,5004.0,5,2018-01-12,91.0
289,289,5501.0,5,2018-01-12,94.0
290,290,15022.0,5,2018-01-12,50.0
291,291,15090.0,5,2018-01-12,34.0
292,292,15092.0,5,2018-01-12,74.0
293,293,15106.0,5,2018-01-12,60.0
294,294,15114.0,5,2018-01-12,40.0
295,295,15131.0,5,2018-01-12,75.0
296,296,15135.0,5,2018-01-12,96.0
297,297,15172.0,5,2018-01-12,76.0
298,298,15187.0,5,2018-01-12,98.0
299,299,15212.0,5,2018-01-12,93.0
300,300,15215.0,5,2018-01-12,100.0
301,301,15218.0,5,2018-01-12,70.0
302,302,15226.0,5,2018-01-12,51.0
303,303,15236.0,5,2018-01-12,57.0
304,304,15248.0,5,2018-01-12,84.0
305,305,15276.0,5,2018-01-12,89.0
306,306,15293.0,5,2018-01-12,68.0
307,307,15317.0,5,2018-01-12,48.0
308,308,15325.0,5,2018-01-12,68.0
309,309,15362.0,5,2018-01-12,69.0
310,310,15380.0,5,2018-01-12,64.0
311,311,15401.0,5,2018-01-12,31.0
312,312,15403.0,5,2018-01-12,84.0
313,313,15500.0,5,2018-01-12,88.0
314,314,15511.0,5,2018-01-12,50.0
315,315,15518.0,5,2018-01-12,93.0
316,316,15522.0,5,2018-01-12,43.0
317,317,15550.0,5,2018-01-12,72.0
318,318,15621.0,5,2018-01-12,53.0
319,319,15660.0,5,2018-01-12,60.0
320,320,15673.0,5,2018-01-12,74.0
321,321,15676.0,5,2018-01-12,71.0
322,322,15696.0,5,2018-01-12,91.0
323,323,15720.0,5,2018-01-12,62.0
324,324,15723.0,5,2018-01-12,29.0
325,325,15761.0,5,2018-01-12,58.0
326,326,15774.0,5,2018-01-12,76.0
327,327,15798.0,5,2018-01-12,93.0
328,328,15808.0,5,2018-01-12,92.0
329,329,15810.0,5,2018-01-12,95.0
330,330,15832.0,5,2018-01-12,47.0
331,331,15839.0,5,2018-01-12,64.0
332,332,15879.0,5,2018-01-12,70.0
333,333,73770.0,6,2018-01-12,99.0
334,334,25086.0,6,2018-01-12,52.0
335,335,25095.0,6,2018-01-12,52.0
336,336,25299.0,6,2018-01-12,78.0
337,337,25324.0,6,2018-01-12,70.0
338,338,25368.0,6,2018-01-12,64.0
339,339,25436.0,6,2018-01-12,87.0
340,340,25483.0,6,2018-01-12,74.0
341,341,25580.0,6,2018-01-12,68.0
342,342,25805.0,6,2018-01-12,97.0
343,343,25807.0,6,2018-01-12,78.0
344,344,25823.0,6,2018-01-12,98.0
345,345,25871.0,6,2018-01-12,46.0
346,346,17446.0,6,2018-01-12,71.0
347,347,63111.0,6,2018-01-12,80.0
348,348,68013.0,6,2018-01-12,67.0
349,349,68121.0,6,2018-01-12,52.0
350,350,68132.0,6,2018-01-12,98.0
351,351,68160.0,6,2018-01-12,74.0
352,352,68169.0,6,2018-01-12,92.0
353,353,68176.0,6,2018-01-12,93.0
354,354,68211.0,6,2018-01-12,93.0
355,355,68245.0,6,2018-01-12,61.0
356,356,68264.0,6,2018-01-12,78.0
357,357,68266.0,6,2018-01-12,99.0
358,358,68322.0,6,2018-01-12,86.0
359,359,68324.0,6,2018-01-12,97.0
360,360,68344.0,6,2018-01-12,77.0
361,361,68368.0,6,2018-01-12,85.0
362,362,68370.0,6,2018-01-12,51.0
363,363,68425.0,6,2018-01-12,69.0
364,364,68522.0,6,2018-01-12,43.0
365,365,68524.0,6,2018-01-12,80.0
366,366,68682.0,6,2018-01-12,74.0
367,367,68686.0,6,2018-01-12,76.0
368,368,68705.0,6,2018-01-12,86.0
369,369,68867.0,6,2018-01-12,77.0
370,370,50245.0,6,2018-01-12,48.0
371,371,50686.0,6,2018-01-12,40.0
372,372,85136.0,6,2018-01-12,57.0
373,373,85279.0,6,2018-01-12,58.0
374,374,85315.0,6,2018-01-12,74.0
375,375,97666.0,6,2018-01-12,52.0
376,376,97161.0,6,2018-01-12,63.0
377,377,5501.0,6,2018-01-12,84.0
378,378,5004.0,6,2018-01-12,91.0
379,379,15022.0,6,2018-01-12,55.0
380,380,15090.0,6,2018-01-12,48.0
381,381,15092.0,6,2018-01-12,67.0
382,382,15106.0,6,2018-01-12,60.0
383,383,15114.0,6,2018-01-12,46.0
384,384,15131.0,6,2018-01-12,71.0
385,385,15135.0,6,2018-01-12,93.0
386,386,15172.0,6,2018-01-12,77.0
387,387,15187.0,6,2018-01-12,87.0
388,388,15212.0,6,2018-01-12,97.0
389,389,15215.0,6,2018-01-12,93.0
390,390,15218.0,6,2018-01-12,69.0
391,391,15226.0,6,2018-01-12,55.0
392,392,15236.0,6,2018-01-12,78.0
393,393,15248.0,6,2018-01-12,96.0
394,394,15276.0,6,2018-01-12,84.0
395,395,15293.0,6,2018-01-12,91.0
396,396,15317.0,6,2018-01-12,49.0
397,397,15325.0,6,2018-01-12,75.0
398,398,15362.0,6,2018-01-12,63.0
399,399,15380.0,6,2018-01-12,52.0
400,400,15401.0,6,2018-01-12,32.0
401,401,15403.0,6,2018-01-12,82.0
402,402,15500.0,6,2018-01-12,70.0
403,403,15511.0,6,2018-01-12,61.0
404,404,15518.0,6,2018-01-12,87.0
405,405,15522.0,6,2018-01-12,51.0
406,406,15533.0,6,2018-01-12,95.0
407,407,15550.0,6,2018-01-12,58.0
408,408,15621.0,6,2018-01-12,60.0
409,409,15660.0,6,2018-01-12,54.0
410,410,15673.0,6,2018-01-12,83.0
411,411,15676.0,6,2018-01-12,78.0
412,412,15696.0,6,2018-01-12,93.0
413,413,15720.0,6,2018-01-12,65.0
414,414,15723.0,6,2018-01-12,40.0
415,415,15761.0,6,2018-01-12,55.0
416,416,15762.0,6,2018-01-12,96.0
417,417,15774.0,6,2018-01-12,75.0
418,418,15798.0,6,2018-01-12,88.0
419,419,15808.0,6,2018-01-12,95.0
420,420,15810.0,6,2018-01-12,96.0
421,421,15832.0,6,2018-01-12,50.0
422,422,15839.0,6,2018-01-12,55.0
423,423,15879.0,6,2018-01-12,72.0
424,424,68013.0,7,2018-01-12,66.0
425,425,68121.0,7,2018-01-12,62.0
426,426,68132.0,7,2018-01-12,87.0
427,427,68160.0,7,2018-01-12,76.0
428,428,68169.0,7,2018-01-12,99.0
429,429,68245.0,7,2018-01-12,77.0
430,430,68264.0,7,2018-01-12,83.0
431,431,68296.0,7,2018-01-12,95.0
432,432,68322.0,7,2018-01-12,87.0
433,433,68344.0,7,2018-01-12,83.0
434,434,68368.0,7,2018-01-12,95.0
435,435,68370.0,7,2018-01-12,43.0
436,436,68425.0,7,2018-01-12,65.0
437,437,68522.0,7,2018-01-12,42.0
438,438,68524.0,7,2018-01-12,74.0
439,439,68682.0,7,2018-01-12,68.0
440,440,68686.0,7,2018-01-12,81.0
441,441,68705.0,7,2018-01-12,89.0
442,442,68867.0,7,2018-01-12,74.0
443,443,17446.0,7,2018-01-12,84.0
444,444,15022.0,7,2018-01-12,58.0
445,445,15090.0,7,2018-01-12,47.0
446,446,15092.0,7,2018-01-12,58.0
447,447,15106.0,7,2018-01-12,67.0
448,448,15114.0,7,2018-01-12,41.0
449,449,15131.0,7,2018-01-12,84.0
450,450,15135.0,7,2018-01-12,83.0
451,451,15172.0,7,2018-01-12,82.0
452,452,15187.0,7,2018-01-12,79.0
