,llave_salubridad,fk_municipio,fk_indicador,fk_fecha,valor_salubridad
260,260,15494.0,262,2018-01-12,96.49
261,261,15500.0,262,2018-01-12,97.39
262,262,15507.0,262,2018-01-12,91.43
263,263,15511.0,262,2018-01-12,97.16
264,264,15514.0,262,2018-01-12,95.91
265,265,15516.0,262,2018-01-12,98.86
266,266,15518.0,262,2018-01-12,93.81
267,267,15522.0,262,2018-01-12,99.05
268,268,15531.0,262,2018-01-12,92.09
269,269,15533.0,262,2018-01-12,16.27
270,270,15537.0,262,2018-01-12,98.44
271,271,15542.0,262,2018-01-12,97.29
272,272,15550.0,262,2018-01-12,22.97
273,273,15572.0,262,2018-01-12,92.83
274,274,15580.0,262,2018-01-12,88.67
275,275,15599.0,262,2018-01-12,99.32
276,276,15600.0,262,2018-01-12,98.27
277,277,15621.0,262,2018-01-12,96.02
278,278,15632.0,262,2018-01-12,98.58
279,279,15638.0,262,2018-01-12,94.73
280,280,15646.0,262,2018-01-12,97.99
281,281,15660.0,262,2018-01-12,93.38
282,282,15664.0,262,2018-01-12,97.97
283,283,15667.0,262,2018-01-12,93.02
284,284,15673.0,262,2018-01-12,98.7
285,285,15676.0,262,2018-01-12,97.11
286,286,15681.0,262,2018-01-12,88.36
287,287,15686.0,262,2018-01-12,96.01
288,288,15690.0,262,2018-01-12,96.25
289,289,15693.0,262,2018-01-12,97.97
290,290,15696.0,262,2018-01-12,98.27
291,291,15720.0,262,2018-01-12,98.82
292,292,15723.0,262,2018-01-12,91.59
293,293,15740.0,262,2018-01-12,98.94
294,294,15753.0,262,2018-01-12,98.94
295,295,15755.0,262,2018-01-12,96.05
296,296,15757.0,262,2018-01-12,83.45
297,297,15759.0,262,2018-01-12,96.62
298,298,15761.0,262,2018-01-12,97.76
299,299,15762.0,262,2018-01-12,97.98
300,300,15763.0,262,2018-01-12,97.14
301,301,15764.0,262,2018-01-12,97.92
302,302,15774.0,262,2018-01-12,98.19
303,303,15776.0,262,2018-01-12,96.78
304,304,15778.0,262,2018-01-12,97.73
305,305,15790.0,262,2018-01-12,98.91
306,306,15798.0,262,2018-01-12,98.47
307,307,15804.0,262,2018-01-12,96.45
308,308,15806.0,262,2018-01-12,99.45
309,309,15808.0,262,2018-01-12,95.74
310,310,15810.0,262,2018-01-12,96.67
311,311,15814.0,262,2018-01-12,99.06
312,312,15816.0,262,2018-01-12,96.31
313,313,15820.0,262,2018-01-12,96.99
314,314,15822.0,262,2018-01-12,97.06
315,315,15832.0,262,2018-01-12,87.55
316,316,15835.0,262,2018-01-12,98.33
317,317,15837.0,262,2018-01-12,98.19
318,318,15839.0,262,2018-01-12,96.56
319,319,15842.0,262,2018-01-12,99.35
320,320,15861.0,262,2018-01-12,98.96
321,321,15879.0,262,2018-01-12,99.14
322,322,15897.0,262,2018-01-12,90.9
323,323,17000.0,262,2018-01-12,99.59
324,324,17001.0,262,2018-01-12,99.84
325,325,17013.0,262,2018-01-12,98.92
326,326,17042.0,262,2018-01-12,99.9
327,327,17050.0,262,2018-01-12,99.9
328,328,17088.0,262,2018-01-12,99.89
329,329,17174.0,262,2018-01-12,99.94
330,330,17272.0,262,2018-01-12,99.81
331,331,17380.0,262,2018-01-12,98.26
332,332,17388.0,262,2018-01-12,99.78
333,333,17433.0,262,2018-01-12,99.74
334,334,17442.0,262,2018-01-12,99.75
335,335,17444.0,262,2018-01-12,99.96
336,336,17446.0,262,2018-01-12,99.66
337,337,17486.0,262,2018-01-12,99.85
338,338,17495.0,262,2018-01-12,97.54
339,339,17513.0,262,2018-01-12,100.0
340,340,17524.0,262,2018-01-12,100.0
341,341,17541.0,262,2018-01-12,99.71
342,342,17614.0,262,2018-01-12,99.59
343,343,17616.0,262,2018-01-12,99.78
344,344,17653.0,262,2018-01-12,99.39
345,345,17662.0,262,2018-01-12,98.76
346,346,17665.0,262,2018-01-12,99.59
347,347,17777.0,262,2018-01-12,99.98
348,348,17867.0,262,2018-01-12,99.38
349,349,17873.0,262,2018-01-12,99.17
350,350,17877.0,262,2018-01-12,98.58
351,351,18000.0,262,2018-01-12,58.48
352,352,18001.0,262,2018-01-12,90.47
353,353,18029.0,262,2018-01-12,87.74
354,354,18094.0,262,2018-01-12,77.6
355,355,18150.0,262,2018-01-12,26.23
356,356,18205.0,262,2018-01-12,77.01
